"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17608","testLoginFail","SauceLabs Demo App","Wed Jun 24 11:10:29 ICT 2026","passed","Wed Jun 24 11:10:46 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginFail"
"","11013","testLoginWithSoftAssert","SauceLabs Demo App","Wed Jun 24 11:13:45 ICT 2026","failed","Wed Jun 24 11:13:56 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginWithSoftAssert"
"","16605","testLoginWithExcelFile","SauceLabs Demo App","Wed Jun 24 11:12:29 ICT 2026","passed","Wed Jun 24 11:12:46 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginWithExcelFile"
"","20578","testLoginWithExcelFile","SauceLabs Demo App","Wed Jun 24 11:13:03 ICT 2026","passed","Wed Jun 24 11:13:23 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginWithExcelFile"
"","19273","testLoginFail","SauceLabs Demo App","Wed Jun 24 11:09:50 ICT 2026","passed","Wed Jun 24 11:10:09 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginFail"
"Verify user can login successfully","22723","testLoginSuccess","SauceLabs Demo App","Wed Jun 24 11:11:05 ICT 2026","passed","Wed Jun 24 11:11:27 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginSuccess"
"","26349","testLoginFail","SauceLabs Demo App","Wed Jun 24 11:09:02 ICT 2026","passed","Wed Jun 24 11:09:29 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginFail"
"","24006","testLoginWithExcelFile","SauceLabs Demo App","Wed Jun 24 11:11:48 ICT 2026","passed","Wed Jun 24 11:12:12 ICT 2026","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","Android Sauce Labs","com.anhtester.bai20_mutiple_platform.testcases.SauceLabsApp.LoginTest","testLoginWithExcelFile"
